id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo,Sexo
210,ECUATORIANA,,,,,,,,35,HOMBRE
211,ECUATORIANA,,,,,,,,42,HOMBRE
212,ECUATORIANA,,,,,,,,59,HOMBRE
213,ECUATORIANA,,,,,,,,28,HOMBRE
214,ECUATORIANA,,,,,,,,32,HOMBRE
215,,,,,,,,,,HOMBRE
216,ECUATORIANA,,,,,,,,25,HOMBRE
217,ECUATORIANA,,,,,,,,38,HOMBRE
218,ECUATORIANA,,,,,,,,27,HOMBRE
219,ECUATORIANA,,,,,,,,32,HOMBRE
220,ECUATORIANA,,,,,,,,18,HOMBRE
221,ECUATORIANA,,,,,,,,31,HOMBRE
222,ECUATORIANA,,,,,,,,34,HOMBRE
223,ECUATORIANA,,,,,,,,16,MUJER
224,ECUATORIANA,,,,,,,,40,HOMBRE
225,ECUATORIANA,,,,,,,,29,HOMBRE
226,ECUATORIANA,,,,,,,,18,HOMBRE
227,ECUATORIANA,,,,,,,,38,HOMBRE
228,ECUATORIANA,,,,,,,,30,MUJER
229,ECUATORIANA,,,,,,,,34,HOMBRE
230,ECUATORIANA,,,,,,,,26,HOMBRE
231,ECUATORIANA,,,,,,,,30,HOMBRE
232,ECUATORIANA,,,,,,,,40,HOMBRE
233,ECUATORIANA,,,,,,,,22,HOMBRE
234,ECUATORIANA,,,,,,,,42,HOMBRE
235,ECUATORIANA,,,,,,,,39,HOMBRE
236,ECUATORIANA,,,,,,,,40,MUJER
237,COLOMBIANA,,,,,,,,,HOMBRE
238,ECUATORIANA,,,,,,,,24,HOMBRE
239,ECUATORIANA,,,,,,,,66,HOMBRE
240,ECUATORIANA,,,,,,,,24,HOMBRE
241,ECUATORIANA,,,,,,,,41,HOMBRE
242,ECUATORIANA,,,,,,,,44,HOMBRE
243,ECUATORIANA,,,,,,,,22,HOMBRE
244,ECUATORIANA,,,,,,,,26,HOMBRE
245,COLOMBIANA,,,,,,,,,HOMBRE
246,ECUATORIANA,,,,,,,,18,HOMBRE
247,ECUATORIANA,,,,,,,,44,HOMBRE
248,ECUATORIANA,,,,,,,,38,MUJER
249,ECUATORIANA,,,,,,,,50,HOMBRE
250,ECUATORIANA,,,,,,,,33,HOMBRE
251,ECUATORIANA,,,,,,,,56,HOMBRE
252,ECUATORIANA,,,,,,,,22,HOMBRE
253,ECUATORIANA,,,,,,,,44,HOMBRE
254,ECUATORIANA,,,,,,,,51,HOMBRE
255,ECUATORIANA,,,,,,,,33,HOMBRE
256,ECUATORIANA,,,,,,,,25,HOMBRE
257,ECUATORIANA,,,,,,,,38,MUJER
258,ECUATORIANA,,,,,,,,35,HOMBRE
259,ECUATORIANA,,,,,,,,30,HOMBRE
260,ECUATORIANA,,,,,,,,21,HOMBRE
261,ECUATORIANA,,,,,,,,18,MUJER
262,ECUATORIANA,,,,,,,,20,HOMBRE
263,ECUATORIANA,,,,,,,,27,HOMBRE
264,ECUATORIANA,,,,,,,,65,HOMBRE
265,ECUATORIANA,,,,,,,,46,HOMBRE
266,ECUATORIANA,,,,,,,,46,HOMBRE
267,ECUATORIANA,,,,,,,,31,HOMBRE
268,ECUATORIANA,,,,,,,,31,HOMBRE
269,ECUATORIANA,,,,,,,,24,HOMBRE
270,ECUATORIANA,,,,,,,,37,HOMBRE
271,ECUATORIANA,,,,,,,,26,HOMBRE
272,ECUATORIANA,,,,,,,,15,HOMBRE
273,ECUATORIANA,,,,,,,,,HOMBRE
274,ECUATORIANA,,,,,,,,20,HOMBRE
275,ECUATORIANA,,,,,,,,19,HOMBRE
276,ECUATORIANA,,,,,,,,53,HOMBRE
277,ECUATORIANA,,,,,,,,36,HOMBRE
278,ECUATORIANA,,,,,,,,30,MUJER
279,ECUATORIANA,,,,,,,,36,MUJER
280,ECUATORIANA,,,,,,,,29,HOMBRE
281,ECUATORIANA,,,,,,,,20,MUJER
282,ECUATORIANA,,,,,,,,18,HOMBRE
283,ECUATORIANA,,,,,,,,17,HOMBRE
284,ECUATORIANA,,,,,,,,41,MUJER
285,ECUATORIANA,,,,,,,,23,HOMBRE
286,ECUATORIANA,,,,,,,,28,HOMBRE
287,ECUATORIANA,,,,,,,,35,HOMBRE
288,ECUATORIANA,,,,,,,,40,HOMBRE
289,ECUATORIANA,,,,,,,,31,HOMBRE
290,ECUATORIANA,,,,,,,,35,HOMBRE
291,ECUATORIANA,,,,,,,,23,HOMBRE
292,ECUATORIANA,,,,,,,,23,HOMBRE
293,ECUATORIANA,,,,,,,,17,HOMBRE
294,ECUATORIANA,,,,,,,,37,HOMBRE
295,ECUATORIANA,,,,,,,,39,HOMBRE
