id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
353,ECUADOR,,,,,,,17,HOMBRE
354,ECUADOR,,,,,,,52,HOMBRE
355,ECUADOR,,,,,,,22,HOMBRE
356,ECUADOR,,,,,,,36,HOMBRE
357,ECUADOR,,,,,,,69,HOMBRE
358,ECUADOR,,,,,,,22,HOMBRE
359,ECUADOR,,,,,,,41,HOMBRE
360,ECUADOR,,,,,,,27,HOMBRE
361,ECUADOR,,,,,,,20,HOMBRE
362,ECUADOR,,,,,,,23,HOMBRE
363,ECUADOR,,,,,,,27,HOMBRE
364,ECUADOR,,,,,,,22,HOMBRE
365,ECUADOR,,,,,,,68,HOMBRE
366,ECUADOR,,,,,,,26,HOMBRE
367,ECUADOR,,,,,,,30,HOMBRE
368,ECUADOR,,,,,,,35,HOMBRE
369,ECUADOR,,,,,,,34,HOMBRE
370,ECUADOR,,,,,,,35,HOMBRE
371,ECUADOR,,,,,,,70,MUJER
372,ECUADOR,,,,,,,18,HOMBRE
373,ECUADOR,,,,,,,30,HOMBRE
374,ECUADOR,,,,,,,27,HOMBRE
375,ECUADOR,,,,,,,21,HOMBRE
376,ECUADOR,,,,,,,49,HOMBRE
377,ECUADOR,,,,,,,29,HOMBRE
378,ECUADOR,,,,,,,22,HOMBRE
379,ECUADOR,,,,,,,19,HOMBRE
380,ECUADOR,,,,,,,21,HOMBRE
381,ECUADOR,,,,,,,20,HOMBRE
382,ECUADOR,,,,,,,23,HOMBRE
383,ECUADOR,,,,,,,24,HOMBRE
384,ECUADOR,,,,,,,39,HOMBRE
385,ECUADOR,,,,,,,,HOMBRE
386,ECUADOR,,,,,,,28,HOMBRE
387,ECUADOR,,,,,,,56,HOMBRE
388,ECUADOR,,,,,,,33,HOMBRE
389,ECUADOR,,,,,,,25,HOMBRE
390,ECUADOR,,,,,,,30,HOMBRE
391,ECUADOR,,,,,,,35,HOMBRE
392,ECUADOR,,,,,,,45,HOMBRE
393,ECUADOR,,,,,,,24,MUJER
394,ECUADOR,,,,,,,46,MUJER
395,ECUADOR,,,,,,,29,HOMBRE
396,ECUADOR,,,,,,,38,HOMBRE
397,ECUADOR,,,,,,,50,HOMBRE
398,ECUADOR,,,,,,,22,HOMBRE
399,ECUADOR,,,,,,,25,MUJER
400,ECUADOR,,,,,,,29,HOMBRE
401,ECUADOR,,,,,,,44,HOMBRE
402,ECUADOR,,,,,,,32,HOMBRE
403,ECUADOR,,,,,,,41,HOMBRE
404,ECUADOR,,,,,,,49,HOMBRE
405,ECUADOR,,,,,,,30,HOMBRE
406,ECUADOR,,,,,,,25,HOMBRE
407,ECUADOR,,,,,,,44,MUJER
408,ECUADOR,,,,,,,43,MUJER
409,ECUADOR,,,,,,,34,HOMBRE
410,ECUADOR,,,,,,,28,MUJER
411,ECUADOR,,,,,,,75,MUJER
412,ECUADOR,,,,,,,34,HOMBRE
413,ECUADOR,,,,,,,38,HOMBRE
414,ECUADOR,,,,,,,51,HOMBRE
415,ECUADOR,,,,,,,27,HOMBRE
416,ECUADOR,,,,,,,22,HOMBRE
417,ECUADOR,,,,,,,24,HOMBRE
418,ECUADOR,,,,,,,19,HOMBRE
419,ECUADOR,,,,,,,22,HOMBRE
420,ECUADOR,,,,,,,,HOMBRE
421,ECUADOR,,,,,,,29,HOMBRE
422,ECUADOR,,,,,,,27,HOMBRE
423,ECUADOR,,,,,,,55,HOMBRE
424,ECUADOR,,,,,,,32,MUJER
425,ECUADOR,,,,,,,29,HOMBRE
426,ECUADOR,,,,,,,35,HOMBRE
427,ECUADOR,,,,,,,24,HOMBRE
428,ECUADOR,,,,,,,49,HOMBRE
429,ECUADOR,,,,,,,48,MUJER
430,ECUADOR,,,,,,,50,MUJER
431,ECUADOR,,,,,,,37,HOMBRE
432,ECUADOR,,,,,,,45,HOMBRE
433,ECUADOR,,,,,,,62,HOMBRE
434,ECUADOR,,,,,,,15,MUJER
435,ECUADOR,,,,,,,17,HOMBRE
436,ECUADOR,,,,,,,16,HOMBRE
437,ECUADOR,,,,,,,14,MUJER
438,ECUADOR,,,,,,,28,HOMBRE
439,ECUADOR,,,,,,,20,HOMBRE
440,ECUADOR,,,,,,,33,HOMBRE
441,ECUADOR,,,,,,,31,MUJER
442,ECUADOR,,,,,,,26,HOMBRE
443,ECUADOR,,,,,,,19,HOMBRE
444,ECUADOR,,,,,,,26,HOMBRE
445,ECUADOR,,,,,,,31,HOMBRE
446,ECUADOR,,,,,,,36,HOMBRE
447,ECUADOR,,,,,,,31,HOMBRE
448,ECUADOR,,,,,,,37,HOMBRE
449,ECUADOR,,,,,,,31,HOMBRE
450,ECUADOR,,,,,,,30,HOMBRE
451,ECUADOR,,,,,,,24,HOMBRE
452,ECUADOR,,,,,,,17,HOMBRE
453,ECUADOR,,,,,,,16,HOMBRE
454,ECUADOR,,,,,,,38,HOMBRE
455,ECUADOR,,,,,,,35,HOMBRE
456,ECUADOR,,,,,,,29,HOMBRE
457,ECUADOR,,,,,,,20,HOMBRE
458,ECUADOR,,,,,,,22,HOMBRE
459,ECUADOR,,,,,,,25,HOMBRE
460,ECUADOR,,,,,,,39,HOMBRE
461,ECUADOR,,,,,,,37,HOMBRE
462,ECUADOR,,,,,,,36,MUJER
463,ECUADOR,,,,,,,62,MUJER
464,ECUADOR,,,,,,,31,HOMBRE
465,ECUADOR,,,,,,,29,HOMBRE
466,ECUADOR,,,,,,,20,HOMBRE
467,ECUADOR,,,,,,,55,HOMBRE
468,ECUADOR,,,,,,,38,HOMBRE
469,ECUADOR,,,,,,,50,HOMBRE
470,ECUADOR,,,,,,,19,HOMBRE
471,ECUADOR,,,,,,,48,MUJER
472,ECUADOR,,,,,,,58,HOMBRE
473,ECUADOR,,,,,,,21,HOMBRE
474,ECUADOR,,,,,,,19,HOMBRE
475,ECUADOR,,,,,,,34,HOMBRE
476,ECUADOR,,,,,,,23,HOMBRE
477,ECUADOR,,,,,,,58,HOMBRE
478,ECUADOR,,,,,,,30,HOMBRE
479,ECUADOR,,,,,,,21,HOMBRE
480,ECUADOR,,,,,,,21,HOMBRE
481,ECUADOR,,,,,,,34,HOMBRE
482,ECUADOR,,,,,,,28,MUJER
483,ECUADOR,,,,,,,30,HOMBRE
484,ECUADOR,,,,,,,15,MUJER
485,ECUADOR,,,,,,,21,HOMBRE
486,ECUADOR,,,,,,,34,HOMBRE
487,ECUADOR,,,,,,,22,HOMBRE
488,ECUADOR,,,,,,,58,HOMBRE
489,ECUADOR,,,,,,,24,HOMBRE
490,ECUADOR,,,,,,,34,HOMBRE
491,ECUADOR,,,,,,,26,HOMBRE
492,ECUADOR,,,,,,,29,HOMBRE
493,ECUADOR,,,,,,,43,HOMBRE
494,ECUADOR,,,,,,,31,HOMBRE
495,ECUADOR,,,,,,,37,HOMBRE
496,ECUADOR,,,,,,,44,HOMBRE
497,ECUADOR,,,,,,,27,HOMBRE
498,ECUADOR,,,,,,,37,MUJER
499,ECUADOR,,,,,,,39,HOMBRE
500,ECUADOR,,,,,,,41,HOMBRE
501,ECUADOR,,,,,,,33,MUJER
502,ECUADOR,,,,,,,47,HOMBRE
503,COLOMBIA,,,,,,,,MUJER
504,ECUADOR,,,,,,,28,HOMBRE
505,ECUADOR,,,,,,,43,HOMBRE
506,ECUADOR,,,,,,,13,MUJER
507,ECUADOR,,,,,,,39,MUJER
508,ECUADOR,,,,,,,38,HOMBRE
509,ECUADOR,,,,,,,24,HOMBRE
510,ECUADOR,,,,,,,35,HOMBRE
511,ECUADOR,,,,,,,31,HOMBRE
512,ECUADOR,,,,,,,36,HOMBRE
513,ECUADOR,,,,,,,20,HOMBRE
514,ECUADOR,,,,,,,21,HOMBRE
515,ECUADOR,,,,,,,18,HOMBRE
516,COLOMBIA,,,,,,,,HOMBRE
517,ECUADOR,,,,,,,18,HOMBRE
518,ECUADOR,,,,,,,50,HOMBRE
519,COLOMBIA,,,,,,,,HOMBRE
520,ECUADOR,,,,,,,44,HOMBRE
521,ECUADOR,,,,,,,32,HOMBRE
522,ECUADOR,,,,,,,18,HOMBRE
523,ECUADOR,,,,,,,41,HOMBRE
524,ECUADOR,,,,,,,35,HOMBRE
525,PERU,,,,,,,,HOMBRE
526,ECUADOR,,,,,,,19,HOMBRE
527,ECUADOR,,,,,,,31,HOMBRE
528,ECUADOR,,,,,,,32,HOMBRE
529,ECUADOR,,,,,,,36,HOMBRE
530,ECUADOR,,,,,,,32,HOMBRE
531,ECUADOR,,,,,,,22,HOMBRE
532,ECUADOR,,,,,,,40,HOMBRE
533,ECUADOR,,,,,,,21,HOMBRE
534,ECUADOR,,,,,,,20,HOMBRE
535,ECUADOR,,,,,,,,HOMBRE
536,ECUADOR,,,,,,,25,HOMBRE
537,ECUADOR,,,,,,,24,HOMBRE
538,ECUADOR,,,,,,,24,HOMBRE
539,ECUADOR,,,,,,,21,HOMBRE
540,ECUADOR,,,,,,,24,HOMBRE
541,ECUADOR,,,,,,,45,HOMBRE
542,ECUADOR,,,,,,,21,HOMBRE
543,,,,,,,,,HOMBRE
544,ECUADOR,,,,,,,22,HOMBRE
545,ECUADOR,,,,,,,37,HOMBRE
546,ECUADOR,,,,,,,22,HOMBRE
547,ECUADOR,,,,,,,49,HOMBRE
548,ECUADOR,,,,,,,32,HOMBRE
549,ECUADOR,,,,,,,48,HOMBRE
550,ECUADOR,,,,,,,24,HOMBRE
551,ECUADOR,,,,,,,20,HOMBRE
552,ECUADOR,,,,,,,21,HOMBRE
553,ECUADOR,,,,,,,35,HOMBRE
554,ECUADOR,,,,,,,41,HOMBRE
555,ECUADOR,,,,,,,37,HOMBRE
556,ECUADOR,,,,,,,32,HOMBRE
557,ECUADOR,,,,,,,28,HOMBRE
558,ECUADOR,,,,,,,23,HOMBRE
559,ECUADOR,,,,,,,53,HOMBRE
560,ECUADOR,,,,,,,39,HOMBRE
561,ECUADOR,,,,,,,42,HOMBRE
562,ECUADOR,,,,,,,19,HOMBRE
563,ECUADOR,,,,,,,16,HOMBRE
564,ECUADOR,,,,,,,23,HOMBRE
565,ECUADOR,,,,,,,42,HOMBRE
566,ECUADOR,,,,,,,24,MUJER
567,ECUADOR,,,,,,,42,HOMBRE
568,ECUADOR,,,,,,,22,HOMBRE
569,ECUADOR,,,,,,,28,HOMBRE
570,ECUADOR,,,,,,,25,HOMBRE
571,ECUADOR,,,,,,,28,HOMBRE
572,ECUADOR,,,,,,,29,HOMBRE
573,ECUADOR,,,,,,,23,HOMBRE
574,ECUADOR,,,,,,,25,HOMBRE
575,ECUADOR,,,,,,,56,HOMBRE
576,ECUADOR,,,,,,,35,HOMBRE
577,ECUADOR,,,,,,,40,HOMBRE
